paper_id,entity_id,material_node_id,material_name,formula,alias,material_type,structure_family,crystal_form,phase_composition,confidence,sse_family,conducting_ion,title,doi,year,journal,source_json,evidence
005-Characterization_of_the_interface_between_LiCoO2_and_Li7La3Zr2O12_in_an_all-solid-state_rechargeable_lithium_battery,E1,material:005-Characterization_of_the_interface_between_LiCoO2_and_Li7La3Zr2O12_in_an_all-solid-state_rechargeable_lithium_battery:E1,Li7La3Zr2O12 (LLZ),Li7La3Zr2O12,LLZ,oxide solid electrolyte,Garnet,polycrystalline,Garnet phase; no pyrochlore La2Zr2O7 observed,0.95,oxide,Li+,Characterization of the interface between LiCoO_2 and Li_7La_3Zr_2O_12 in an all-solid-state rechargeable lithium battery,,2010,,信息提取结果/005-Characterization_of_the_interface_between_LiCoO2_and_Li7La3Zr2O12_in_an_all-solid-state_rechargeable_lithium_battery/sse_extraction.json,"We prepared dense pellets of LLZ (10 mm in diameter, 1-2 mm in thickness) following the procedure reported in Ref. [7]."
006-All-solid-state_lithium_ion_battery_using_garnet-type_oxide_and_Li3BO3_solid_electrolytes_fabricated_by_screen-printing,E1,material:006-All-solid-state_lithium_ion_battery_using_garnet-type_oxide_and_Li3BO3_solid_electrolytes_fabricated_by_screen-printing:E1,Li3BO3 (LBO),Li3BO3,LBO,borate solid electrolyte,borate,polycrystalline,Major phase indexed as LBO,0.95,composite,Li+,All-solid-state lithium ion battery using garnet-type oxide and Li3BO3 solid electrolytes fabricated by screen-printing,,2013,,信息提取结果/006-All-solid-state_lithium_ion_battery_using_garnet-type_oxide_and_Li3BO3_solid_electrolytes_fabricated_by_screen-printing/sse_extraction.json,Li_3BO_3 (LBO) as a solid electrolyte within the cathode layer
006-All-solid-state_lithium_ion_battery_using_garnet-type_oxide_and_Li3BO3_solid_electrolytes_fabricated_by_screen-printing,E2,material:006-All-solid-state_lithium_ion_battery_using_garnet-type_oxide_and_Li3BO3_solid_electrolytes_fabricated_by_screen-printing:E2,Li6.75La3Zr1.75Nb0.25O12 (LLZONb),Li6.75La3Zr1.75Nb0.25O12,LLZONb; Nb doped LLZO,oxide solid electrolyte,Garnet,polycrystalline,Nb doped Li7La3Zr2O12,0.9,composite,Li+,All-solid-state lithium ion battery using garnet-type oxide and Li3BO3 solid electrolytes fabricated by screen-printing,,2013,,信息提取结果/006-All-solid-state_lithium_ion_battery_using_garnet-type_oxide_and_Li3BO3_solid_electrolytes_fabricated_by_screen-printing/sse_extraction.json,using Nb doped Li_7La_3Zr_2O_12 (LLZONb) as the solid electrolyte
007-Electrochemical_performance_of_an_all-solid-state_lithium_ion_battery_with_garnet-type_oxide_electrolyte,E1,material:007-Electrochemical_performance_of_an_all-solid-state_lithium_ion_battery_with_garnet-type_oxide_electrolyte:E1,Li6.75La3Zr1.75Nb0.25O12,Li6.75La3Zr1.75Nb0.25O12,LLZONb,oxide solid electrolyte,Garnet,polycrystalline bulk pellet,Nb-doped LLZO,0.95,oxide,Li+,Electrochemical performance of an all-solid-state lithium ion battery with garnet-type oxide electrolyte,,2011,,信息提取结果/007-Electrochemical_performance_of_an_all-solid-state_lithium_ion_battery_with_garnet-type_oxide_electrolyte/sse_extraction.json,LLZONb (Li _6.75 La _3 Zr _1.75 Nb _0.25 O _12 ) was fabricated by conventional solid-state reaction
008-Fabrication_of_all-solid-state_lithium_battery_with_lithium_metal_anode_using_Al2O3-added_Li7La3Zr2O12_solid_electrolyte,E1,material:008-Fabrication_of_all-solid-state_lithium_battery_with_lithium_metal_anode_using_Al2O3-added_Li7La3Zr2O12_solid_electrolyte:E1,Al2O3-added Li7La3Zr2O12 (1000 °C),Li7La3Zr2O12,Al2O3-added LLZ; Al2O3-added LLZ pellet calcined at 1000 °C,oxide solid electrolyte,Garnet,polycrystalline,Garnet phase; no Al2O3 diffraction peaks observed; La2Zr2O7 impurity suppressed at 1000 °C,0.95,oxide,Li+,Fabrication of all-solid-state lithium battery with lithium metal anode using Al2O3-added Li7La3Zr2O12 solid electrolyte,,2011,,信息提取结果/008-Fabrication_of_all-solid-state_lithium_battery_with_lithium_metal_anode_using_Al2O3-added_Li7La3Zr2O12_solid_electrolyte/sse_extraction.json,optimum calcination temperature for Al_2O_3 -added LLZ pellet is 1000^\circC
009-High_sodium_ion_conductivity_of_glass_ceramic_electrolytes_with_cubic_Na3PS4,E1,material:009-High_sodium_ion_conductivity_of_glass_ceramic_electrolytes_with_cubic_Na3PS4:E1,"Na3PS4 glass-ceramic (MM 20h, HT 270C 2h)",Na3PS4,glass-ceramic (a),sulfide glass-ceramic,cubic Na3PS4,glass-ceramic,cubic Na3PS4 with tetragonal Na3PS4 impurities,0.95,sulfide,Na+,High sodium ion conductivity of glass-ceramic electrolytes with cubic Na_3PS_4,,2014,,信息提取结果/009-High_sodium_ion_conductivity_of_glass_ceramic_electrolytes_with_cubic_Na3PS4/sse_extraction.json,"Table 1 Room temperature conductivities, activation energies for conduction and full width of half maximum (FWHM) of the strongest reflection peak of cubic Na_3PS_4 for glass-ceramics prepared by different mechanical milling (MM) and heat-treatment (HT) condi..."
009-High_sodium_ion_conductivity_of_glass_ceramic_electrolytes_with_cubic_Na3PS4,E2,material:009-High_sodium_ion_conductivity_of_glass_ceramic_electrolytes_with_cubic_Na3PS4:E2,"Na3PS4 glass-ceramic (MM 5h, HT 270C 2h)",Na3PS4,,sulfide glass-ceramic,cubic Na3PS4,glass-ceramic,cubic Na3PS4 with tetragonal Na3PS4 impurities,0.95,sulfide,Na+,High sodium ion conductivity of glass-ceramic electrolytes with cubic Na_3PS_4,,2014,,信息提取结果/009-High_sodium_ion_conductivity_of_glass_ceramic_electrolytes_with_cubic_Na3PS4/sse_extraction.json,An increase in conductivity of the sulfide glass-ceramics contributes to improving electrochemical performance of all-solid-state sodium cells.
009-High_sodium_ion_conductivity_of_glass_ceramic_electrolytes_with_cubic_Na3PS4,E3,material:009-High_sodium_ion_conductivity_of_glass_ceramic_electrolytes_with_cubic_Na3PS4:E3,"Na3PS4 glass-ceramic (MM 1.5h, HT 270C 2h)",Na3PS4,glass-ceramic (b),sulfide glass-ceramic,cubic Na3PS4,glass-ceramic,cubic Na3PS4 with tetragonal Na3PS4 impurities,0.95,sulfide,Na+,High sodium ion conductivity of glass-ceramic electrolytes with cubic Na_3PS_4,,2014,,信息提取结果/009-High_sodium_ion_conductivity_of_glass_ceramic_electrolytes_with_cubic_Na3PS4/sse_extraction.json,"Fig. 5. Initial three charge-discharge curves (a) and cycling performance (b) of an all-solid-state Na_15Sn_4/cubic-Na_3PS_4 glass-ceramic/ NaCrO_2 cell. Solid and open marks in figure (b) denote charge and discharge capacities, respectively."
009-High_sodium_ion_conductivity_of_glass_ceramic_electrolytes_with_cubic_Na3PS4,E4,material:009-High_sodium_ion_conductivity_of_glass_ceramic_electrolytes_with_cubic_Na3PS4:E4,"Na3PS4 glass-ceramic (MM 1.5h, HT 270C 1h)",Na3PS4,,sulfide glass-ceramic,cubic Na3PS4,glass-ceramic,cubic Na3PS4 with tetragonal Na3PS4 impurities,0.95,sulfide,Na+,High sodium ion conductivity of glass-ceramic electrolytes with cubic Na_3PS_4,,2014,,信息提取结果/009-High_sodium_ion_conductivity_of_glass_ceramic_electrolytes_with_cubic_Na3PS4/sse_extraction.json,An increase in conductivity of the sulfide glass-ceramics contributes to improving electrochemical performance of all-solid-state sodium cells.
009-High_sodium_ion_conductivity_of_glass_ceramic_electrolytes_with_cubic_Na3PS4,E5,material:009-High_sodium_ion_conductivity_of_glass_ceramic_electrolytes_with_cubic_Na3PS4:E5,"Na3PS4 glass-ceramic (MM 1.5h, HT 220C 4h)",Na3PS4,,sulfide glass-ceramic,cubic Na3PS4,glass-ceramic,cubic Na3PS4 with tetragonal Na3PS4 impurities,0.95,sulfide,Na+,High sodium ion conductivity of glass-ceramic electrolytes with cubic Na_3PS_4,,2014,,信息提取结果/009-High_sodium_ion_conductivity_of_glass_ceramic_electrolytes_with_cubic_Na3PS4/sse_extraction.json,An increase in conductivity of the sulfide glass-ceramics contributes to improving electrochemical performance of all-solid-state sodium cells.
010-Sulfur-carbon_composite_electrode_for_all-solid-state_Li_S_battery_with_Li2S-P2S5_solid_electrolyte,E1,material:010-Sulfur-carbon_composite_electrode_for_all-solid-state_Li_S_battery_with_Li2S-P2S5_solid_electrolyte:E1,80Li2S·20P2S5 glass-ceramic,80Li2S·20P2S5,SE; Li_2S-P_2S_5 glass-ceramic,sulfide solid electrolyte,glass-ceramic,glass-ceramic,Contains Li_3.25P_0.95S_4 crystal precipitated in the glass matrix,0.95,sulfide,Li+,Sulfur-carbon composite electrode for all-solid-state Li/S battery with Li_2S-P_2S_5 solid electrolyte,,2011,,信息提取结果/010-Sulfur-carbon_composite_electrode_for_all-solid-state_Li_S_battery_with_Li2S-P2S5_solid_electrolyte/sse_extraction.json,"The 80Li_2S\cdot20P_2S_5 glass-ceramic was prepared by a mechanochemical reaction process of Li_2S (Idemitsu Kosan Co., >99.9%) and P_2S_5 (Aldrich, 99%) as starting materials, with subsequent heat treatment at 210°C for 1 h [14]."
011-An_all-solid_state_NASICON_sodium_battery_operating_at_200°C,E1,material:011-An_all-solid_state_NASICON_sodium_battery_operating_at_200°C:E1,Na3Zr2Si2PO12 (NZSP),Na3Zr2Si2PO12,NZSP,oxide solid electrolyte,NASICON,polycrystalline,Na3Zr2Si2PO12 with tiny amounts of zirconia and unidentified phase,0.95,borate/phosphate,Na+,An all-solid state NASICON sodium battery operating at 200 °C,,2013,,信息提取结果/011-An_all-solid_state_NASICON_sodium_battery_operating_at_200°C/sse_extraction.json,The solid electrolyte Na_3Zr_2Si_2PO_12 (NZSP) was prepared by a sol-gel method
011-An_all-solid_state_NASICON_sodium_battery_operating_at_200°C,E2,material:011-An_all-solid_state_NASICON_sodium_battery_operating_at_200°C:E2,Na3V2(PO4)3 (NVP),Na3V2(PO4)3,NVP,phosphate electrode/electrolyte,NASICON,polycrystalline,Phase-pure Na3V2(PO4)3,0.9,borate/phosphate,Na+,An all-solid state NASICON sodium battery operating at 200 °C,,2013,,信息提取结果/011-An_all-solid_state_NASICON_sodium_battery_operating_at_200°C/sse_extraction.json,"Monoclinic, NASICON-type \mathrmNa_3V_2(PO_4)_3 (NVP) active material, was prepared by solid-state reaction."
012-Al-doped_Li7La3Zr2O12_synthesized_by_a_polymerized_complex_method,E1,material:012-Al-doped_Li7La3Zr2O12_synthesized_by_a_polymerized_complex_method:E1,Li7La3Zr2O12 (No Al),Li7La3Zr2O12,undoped LLZO; 0 wt.% Al,oxide solid electrolyte,Garnet,polycrystalline,"mixture of tetragonal LLZO, La2O3, and La0.5Zr0.5O1.75",0.95,oxide,Li+,Al-doped Li7La3Zr2O12 synthesized by a polymerized complex method,,2011,,信息提取结果/012-Al-doped_Li7La3Zr2O12_synthesized_by_a_polymerized_complex_method/sse_extraction.json,"Table 1 Density and conductivity of LLZO pellets with different Al contents, sintered at 1200° C for 6 h."
012-Al-doped_Li7La3Zr2O12_synthesized_by_a_polymerized_complex_method,E2,material:012-Al-doped_Li7La3Zr2O12_synthesized_by_a_polymerized_complex_method:E2,Li7La3Zr2O12 (0.2 wt.% Al),Li7La3Zr2O12:Al,0.2 wt.% Al doped LLZO,oxide solid electrolyte,Garnet,polycrystalline,"mixture of cubic and tetragonal phases, La2O3 impurity",0.95,oxide,Li+,Al-doped Li7La3Zr2O12 synthesized by a polymerized complex method,,2011,,信息提取结果/012-Al-doped_Li7La3Zr2O12_synthesized_by_a_polymerized_complex_method/sse_extraction.json,"Table 1 Density and conductivity of LLZO pellets with different Al contents, sintered at 1200° C for 6 h."
012-Al-doped_Li7La3Zr2O12_synthesized_by_a_polymerized_complex_method,E3,material:012-Al-doped_Li7La3Zr2O12_synthesized_by_a_polymerized_complex_method:E3,Li7La3Zr2O12 (0.7 wt.% Al),Li7La3Zr2O12:Al,0.7 wt.% Al doped LLZO,oxide solid electrolyte,Garnet,polycrystalline,mixture of cubic and tetragonal phases,0.95,oxide,Li+,Al-doped Li7La3Zr2O12 synthesized by a polymerized complex method,,2011,,信息提取结果/012-Al-doped_Li7La3Zr2O12_synthesized_by_a_polymerized_complex_method/sse_extraction.json,"Table 1 Density and conductivity of LLZO pellets with different Al contents, sintered at 1200° C for 6 h."
012-Al-doped_Li7La3Zr2O12_synthesized_by_a_polymerized_complex_method,E4,material:012-Al-doped_Li7La3Zr2O12_synthesized_by_a_polymerized_complex_method:E4,Li7La3Zr2O12 (1.2 wt.% Al),Li7La3Zr2O12:Al,1.2 wt.% Al doped LLZO; optimal Al-doped LLZO,oxide solid electrolyte,Garnet,polycrystalline,well crystallized cubic LLZO,0.95,oxide,Li+,Al-doped Li7La3Zr2O12 synthesized by a polymerized complex method,,2011,,信息提取结果/012-Al-doped_Li7La3Zr2O12_synthesized_by_a_polymerized_complex_method/sse_extraction.json,"Table 1 Density and conductivity of LLZO pellets with different Al contents, sintered at 1200° C for 6 h."
012-Al-doped_Li7La3Zr2O12_synthesized_by_a_polymerized_complex_method,E5,material:012-Al-doped_Li7La3Zr2O12_synthesized_by_a_polymerized_complex_method:E5,Li7La3Zr2O12 (2.5 wt.% Al),Li7La3Zr2O12:Al,2.5 wt.% Al doped LLZO,oxide solid electrolyte,Garnet,polycrystalline,cubic LLZO with LaAlO3 impurity,0.95,oxide,Li+,Al-doped Li7La3Zr2O12 synthesized by a polymerized complex method,,2011,,信息提取结果/012-Al-doped_Li7La3Zr2O12_synthesized_by_a_polymerized_complex_method/sse_extraction.json,"Table 1 Density and conductivity of LLZO pellets with different Al contents, sintered at 1200° C for 6 h."
013-Co-sinterable_lithium_garnet-type_oxide_electrolyte_with_cathode_for_all-solid-state_lithium_ion_battery,E1,material:013-Co-sinterable_lithium_garnet-type_oxide_electrolyte_with_cathode_for_all-solid-state_lithium_ion_battery:E1,LLZO-AlNb (developed),"Li6.8(La2.95,Ca0.05)(Zr1.75,Nb0.25)O12 with Al2O3 and Li3BO3 additives","developed LLZO-AlNb; LLZO-CaNb with Al2O3, Li3BO3",oxide solid electrolyte,Garnet,polycrystalline,Cubic garnet type structure (space group: Ia-3d),0.98,oxide,Li+,Co-sinterable lithium garnet-type oxide electrolyte with cathode for all-solid-state lithium ion battery,,2014,,信息提取结果/013-Co-sinterable_lithium_garnet-type_oxide_electrolyte_with_cathode_for_all-solid-state_lithium_ion_battery/sse_extraction.json,The developed LLZO-AlNb in this study was confirmed to exhibit high lithium ion conductivity (0.36 mS cm ^-1 at R.T.)
013-Co-sinterable_lithium_garnet-type_oxide_electrolyte_with_cathode_for_all-solid-state_lithium_ion_battery,E2,material:013-Co-sinterable_lithium_garnet-type_oxide_electrolyte_with_cathode_for_all-solid-state_lithium_ion_battery:E2,LLZO-AlNb-conv.,"Li6.8(La2.95,Ca0.05)(Zr1.75,Nb0.25)O12 with Al2O3 and Li3BO3 additives",LLZO-AlNb prepared by a conventional process,oxide solid electrolyte,Garnet,polycrystalline,Cubic garnet,0.95,oxide,Li+,Co-sinterable lithium garnet-type oxide electrolyte with cathode for all-solid-state lithium ion battery,,2014,,信息提取结果/013-Co-sinterable_lithium_garnet-type_oxide_electrolyte_with_cathode_for_all-solid-state_lithium_ion_battery/sse_extraction.json,"LLZO-AlNb prepared by a conventional process (sintered at 1150 °C, abbreviated as LLZO-AlNb-conv.)"
013-Co-sinterable_lithium_garnet-type_oxide_electrolyte_with_cathode_for_all-solid-state_lithium_ion_battery,E3,material:013-Co-sinterable_lithium_garnet-type_oxide_electrolyte_with_cathode_for_all-solid-state_lithium_ion_battery:E3,LLZO-CaNb (no additives),"Li6.8(La2.95,Ca0.05)(Zr1.75,Nb0.25)O12",,oxide solid electrolyte,Garnet,polycrystalline,Cubic garnet,0.95,oxide,Li+,Co-sinterable lithium garnet-type oxide electrolyte with cathode for all-solid-state lithium ion battery,,2014,,信息提取结果/013-Co-sinterable_lithium_garnet-type_oxide_electrolyte_with_cathode_for_all-solid-state_lithium_ion_battery/sse_extraction.json,Table 1 lists the relative densities for die-pressed pellets of a calcined LLZO-CaNb powder with or without the additives
013-Co-sinterable_lithium_garnet-type_oxide_electrolyte_with_cathode_for_all-solid-state_lithium_ion_battery,E4,material:013-Co-sinterable_lithium_garnet-type_oxide_electrolyte_with_cathode_for_all-solid-state_lithium_ion_battery:E4,LLZO-CaNb (Al2O3 only),"Li6.8(La2.95,Ca0.05)(Zr1.75,Nb0.25)O12 with Al2O3",,oxide solid electrolyte,Garnet,polycrystalline,Cubic garnet,0.95,oxide,Li+,Co-sinterable lithium garnet-type oxide electrolyte with cathode for all-solid-state lithium ion battery,,2014,,信息提取结果/013-Co-sinterable_lithium_garnet-type_oxide_electrolyte_with_cathode_for_all-solid-state_lithium_ion_battery/sse_extraction.json,"Sinterability of LLZO-CaNb was drastically improved by co-addition of Al_2O_3 and Li_3BO_3 . Table 1 lists the relative densities for die-pressed pellets of a calcined LLZO-CaNb powder with or without the additives (both Al_2O_3 and Li_3BO_3 , only Al_2O_3 ,..."
013-Co-sinterable_lithium_garnet-type_oxide_electrolyte_with_cathode_for_all-solid-state_lithium_ion_battery,E5,material:013-Co-sinterable_lithium_garnet-type_oxide_electrolyte_with_cathode_for_all-solid-state_lithium_ion_battery:E5,LLZO-CaNb (Li3BO3 only),"Li6.8(La2.95,Ca0.05)(Zr1.75,Nb0.25)O12 with Li3BO3",,oxide solid electrolyte,Garnet,polycrystalline,Cubic garnet,0.95,oxide,Li+,Co-sinterable lithium garnet-type oxide electrolyte with cathode for all-solid-state lithium ion battery,,2014,,信息提取结果/013-Co-sinterable_lithium_garnet-type_oxide_electrolyte_with_cathode_for_all-solid-state_lithium_ion_battery/sse_extraction.json,"Sinterability of LLZO-CaNb was drastically improved by co-addition of Al_2O_3 and Li_3BO_3 . Table 1 lists the relative densities for die-pressed pellets of a calcined LLZO-CaNb powder with or without the additives (both Al_2O_3 and Li_3BO_3 , only Al_2O_3 ,..."
014-Fabrication_and_performances_of_all_solid-state_symmetric_sodium_battery_based_on_NASICON-related_compounds,E1,material:014-Fabrication_and_performances_of_all_solid-state_symmetric_sodium_battery_based_on_NASICON-related_compounds:E1,Na3Zr2Si2PO12 (NASICON),Na3Zr2Si2PO12,NASICON,oxide solid electrolyte,NASICON,polycrystalline,monoclinic C2/c single phase,0.95,borate/phosphate,Na+,Fabrication and performances of all solid-state symmetric sodium battery based on NASICON-related compounds,,2012,,信息提取结果/014-Fabrication_and_performances_of_all_solid-state_symmetric_sodium_battery_based_on_NASICON-related_compounds/sse_extraction.json,The NASICON-related Na_3Zr_2Si_2PO_12 solid electrolyte synthesized by the sol-gel route
